rank,url,ads
698,nationalgeographic.com,TRUE
700,maricopa.gov,TRUE
701,cambridge.org,TRUE
702,jotform.com,TRUE
707,mixpanel.com,TRUE
709,name.com,TRUE
711,datto.com,TRUE
712,tremorhub.com,TRUE
713,usda.gov,TRUE
714,ign.com,TRUE
715,youku.com,TRUE
716,telekom.de,TRUE
718,lenovo.com,TRUE
719,lemonde.fr,TRUE
721,fiverr.com,TRUE
723,me.com,TRUE
724,mailchi.mp,TRUE
725,zillow.com,TRUE
729,people.com,TRUE
730,rackspace.com,TRUE
733,pbs.org,TRUE
735,usps.com,TRUE
736,notion.so,TRUE
738,cloudns.net,TRUE
739,a-mo.net,TRUE
740,swrve.com,TRUE
745,bitdefender.com,TRUE
746,bluehost.com,TRUE
747,rbc.ru,TRUE
750,rspamd.com,TRUE
751,business.site,TRUE
760,pluto.tv,TRUE
761,aniview.com,TRUE
762,kargo.com,TRUE
764,nordvpn.com,TRUE
767,t-online.de,TRUE
768,onlinepbx.ru,TRUE
769,xfinity.com,TRUE
772,mgid.com,TRUE
776,news.com.au,TRUE
777,ebay.co.uk,TRUE
778,hm.com,TRUE
780,intentiq.com,TRUE
782,xnxx.com,TRUE
783,dreamhost.com,TRUE
785,lefigaro.fr,TRUE
787,change.org,TRUE
792,mirtesen.ru,TRUE
794,cdnvideo.ru,TRUE
802,indexww.com,TRUE
803,connatix.com,TRUE
806,fedex.com,TRUE
821,adjust.com,TRUE
824,bild.de,TRUE
826,academia.edu,TRUE
829,service-now.com,TRUE
833,seznam.cz,TRUE
840,worldbank.org,TRUE
846,erome.com,TRUE
848,instructure.com,TRUE
852,canonical.com,TRUE
855,sonobi.com,TRUE
860,state.gov,TRUE
861,netgear.com,TRUE
862,pendo.io,TRUE
863,deloitte.com,TRUE
870,pusher.com,TRUE
871,shopee.co.id,TRUE
872,globalsign.com,TRUE
873,daum.net,TRUE
874,tribalfusion.com,TRUE
876,economist.com,TRUE
879,hilton.com,TRUE
882,repubblica.it,TRUE
885,springserve.com,TRUE
886,lowes.com,TRUE
887,biblegateway.com,TRUE
888,classlink.com,TRUE
891,wikihow.com,TRUE
892,amazon.com.br,TRUE
893,columbia.edu,TRUE
895,segment.io,TRUE
899,ya.ru,TRUE
900,discogs.com,TRUE
905,ebay.de,TRUE
908,avito.ru,TRUE
911,sharethis.com,TRUE
914,typeform.com,TRUE
915,kohls.com,TRUE
916,wp.pl,TRUE
920,akismet.com,TRUE
921,my.com,TRUE
922,innovid.com,TRUE
926,vkontakte.ru,TRUE
927,onesignal.com,TRUE
928,cbc.ca,TRUE
930,corriere.it,TRUE
932,smartthings.com,TRUE
933,ancestry.com,TRUE
934,weforum.org,TRUE
936,mediavine.com,TRUE
940,binance.com,TRUE
947,ubnt.com,TRUE
951,asos.com,TRUE
952,mongodb.com,TRUE
953,realtor.com,TRUE
954,flurry.com,TRUE
955,wshareit.com,TRUE
961,apnews.com,TRUE
963,adtelligent.com,TRUE
964,plex.tv,TRUE
965,interia.pl,TRUE
966,mercadolibre.com.ar,TRUE
967,pixiv.net,TRUE
972,abovedomains.com,TRUE
976,tokopedia.com,TRUE
980,expedia.com,TRUE
981,bol.com,TRUE
982,si.com,TRUE
983,eporner.com,TRUE
984,chartbeat.com,TRUE
986,psychologytoday.com,TRUE
990,chess.com,TRUE
992,split.io,TRUE
993,constantcontact.com,TRUE
997,sportskeeda.com,TRUE
999,spankbang.com,TRUE
1003,oculus.com,TRUE
1005,n-able.com,TRUE
1010,redislabs.com,TRUE
1011,pikabu.ru,TRUE
1013,marca.com,TRUE
1019,bidmachine.io,TRUE
1020,mobile.de,TRUE
1022,notamedia.ru,TRUE
1023,surfshark.com,TRUE
1024,plos.org,TRUE
1025,2gis.com,TRUE
1026,redfin.com,TRUE
1027,dribbble.com,TRUE
1028,olx.com.br,TRUE
1029,utexas.edu,TRUE
1031,moneycontrol.com,TRUE
1032,mercadolivre.com.br,TRUE
1033,idnes.cz,TRUE
1034,theconversation.com,TRUE
1039,quizizz.com,TRUE
1040,upenn.edu,TRUE
1041,cloudinary.com,TRUE
1042,n-tv.de,TRUE
1045,marketwatch.com,TRUE
1046,superhosting.bg,TRUE
1047,identrust.com,TRUE
1049,gofundme.com,TRUE
1054,nexusmods.com,TRUE
1055,psu.edu,TRUE
1056,as.com,TRUE
1061,avira.com,TRUE
1062,ameba.jp,TRUE
1063,gsmarena.com,TRUE
1066,terra.com.br,TRUE
1070,abc.net.au,TRUE
1071,goal.com,TRUE
1074,ox.ac.uk,TRUE
1075,reverso.net,TRUE
1076,newyorker.com,TRUE
1079,fortune.com,TRUE
1080,postrelease.com,TRUE
1083,meethue.com,TRUE
1085,bitdefender.net,TRUE
1090,ucla.edu,TRUE
1091,newsweek.com,TRUE
1093,kleinanzeigen.de,TRUE
1095,biomedcentral.com,TRUE
1097,goo.ne.jp,TRUE
1098,uisp.com,TRUE
1099,curseforge.com,TRUE
1102,rightmove.co.uk,TRUE
1103,uchi.ru,TRUE
1108,olx.pl,TRUE
1109,letterboxd.com,TRUE
1110,ipify.org,TRUE
1112,vidoomy.com,TRUE
1117,code.org,TRUE
1119,aparat.com,TRUE
1120,gismeteo.ru,TRUE
1121,lanacion.com.ar,TRUE
1124,finn.no,TRUE
1125,telegraaf.nl,TRUE
1127,quantummetric.com,TRUE
1132,dafont.com,TRUE
1133,apa.org,TRUE
1136,uci.edu,TRUE
1137,detik.com,TRUE
1138,amocrm.ru,TRUE
1139,bmj.com,TRUE
1140,udn.com,TRUE
1141,sciencedaily.com,TRUE
1143,myanimelist.net,TRUE
1146,no-ip.com,TRUE
1147,dmm.co.jp,TRUE
1148,readthedocs.io,TRUE
1153,livescore.com,TRUE
1156,flashscore.com,TRUE
1159,bttrack.com,TRUE
1162,vg.no,TRUE
1163,livedoor.com,TRUE
1164,wyzecam.com,TRUE
1165,digistorm.com,TRUE
1166,dynatrace.com,TRUE
1168,irs.gov,TRUE
1169,tabelog.com,TRUE
1174,gazzetta.it,TRUE
1175,pornpics.com,TRUE
1176,fb.watch,TRUE
1179,tinkoff.ru,TRUE
1180,divar.ir,TRUE
1183,beget.com,TRUE
1184,bfmtv.com,TRUE
1192,varzesh3.com,TRUE
1195,remove.bg,TRUE
1196,garmin.com,TRUE
1197,indiamart.com,TRUE
1198,cricbuzz.com,TRUE
1200,faphouse.com,TRUE
1201,doubleclick.com,TRUE
1204,youporn.com,TRUE
1205,xhamster.desi,TRUE
1206,digikala.com,TRUE
1209,magazineluiza.com.br,TRUE
1210,hitomi.la,TRUE
1211,egnyte.com,TRUE
1215,rule34video.com,TRUE
1217,umn.edu,TRUE
1218,espncricinfo.com,TRUE
1219,index.hr,TRUE
1220,terabox.app,TRUE
1221,mercadolibre.com.mx,TRUE
1222,expressen.se,TRUE
1223,kakaku.com,TRUE
1226,zdnet.com,TRUE
1227,marktplaats.nl,TRUE
1228,redtube.com,TRUE
1230,missav.com,TRUE
1243,wordreference.com,TRUE
1244,1024tera.com,TRUE
1245,ebay.it,TRUE
1248,hotpepper.jp,TRUE
1249,wpengine.com,TRUE
1253,merkur.de,TRUE
1255,ria.com,TRUE
1257,asu.edu,TRUE
1258,milliyet.com.tr,TRUE
1261,coursera.org,TRUE
1265,auone.jp,TRUE
1267,trustarc.com,TRUE
1268,tabor.ru,TRUE
1269,byjus.com,TRUE
1274,fastcompany.com,TRUE
1277,boyfriendtv.com,TRUE
1280,tvn24.pl,TRUE
1284,coppel.com,TRUE
1285,kundelik.kz,TRUE
1287,cdiscount.com,TRUE
1288,dlsite.com,TRUE
1290,dagbladet.no,TRUE
1295,python.org,TRUE
1296,noodlemagazine.com,TRUE
1297,oecd.org,TRUE
1298,subito.it,TRUE
1299,mynet.com,TRUE
1301,studocu.com,TRUE
1302,sciencemag.org,TRUE
1303,dcinside.com,TRUE
1306,granbluefantasy.jp,TRUE
1307,substack.com,TRUE
1308,tsn.ua,TRUE
1312,futbin.com,TRUE
1314,youjizz.com,TRUE
1315,ilmessaggero.it,TRUE
1318,dw.com,TRUE
1319,fmkorea.com,TRUE
1320,actu.fr,TRUE
1321,dantri.com.vn,TRUE
1322,nesine.com,TRUE
1325,gartner.com,TRUE
1328,thisvid.com,TRUE
1329,txxx.com,TRUE
1330,haberler.com,TRUE
1332,ekstrabladet.dk,TRUE
1334,aznude.com,TRUE
1335,imhentai.xxx,TRUE
1336,jut.su,TRUE
1337,yts.mx,TRUE
1338,ficbook.net,TRUE
1339,medicalnewstoday.com,TRUE
1342,oreilly.com,TRUE
1343,xhamster2.com,TRUE
1349,itmedia.co.jp,TRUE
1350,4kporn.xxx,TRUE
1351,iporntv.net,TRUE
1353,asuratoon.com,TRUE
1357,love4porn.com,TRUE
1360,kompoz2.com,TRUE
1361,peachavocado.com,TRUE
1362,jable.tv,TRUE
1363,cnnindonesia.com,TRUE
1366,sexvid.xxx,TRUE
1367,ok.xxx,TRUE
1368,hdtube.porn,TRUE
1369,oricon.co.jp,TRUE
1371,xvideos2.com,TRUE
1372,cardgames.io,TRUE
1374,xnxx.tv,TRUE
1375,tenki.jp,TRUE
1376,cnbcindonesia.com,TRUE
1377,xnxx.health,TRUE
1378,cronista.com,TRUE
1379,litnet.com,TRUE
1381,ilmeteo.it,TRUE
1384,hanime1.me,TRUE
1385,fanpage.it,TRUE
1386,syosetu.com,TRUE
1387,sun.com,TRUE
1390,suumo.jp,TRUE
1391,pornhat.com,TRUE
1393,3bmeteo.com,TRUE
1394,inven.co.kr,TRUE
1395,shahvani.com,TRUE
1397,iltalehti.fi,TRUE
1400,betnacional.com,TRUE
1402,bigo.sg,TRUE
1403,nintendo.com,TRUE
1404,russianfood.com,TRUE
1405,amarujala.com,TRUE
1407,science.org,TRUE
1408,ppomppu.co.kr,TRUE
1410,funnyjunk.com,TRUE
1411,mathplayground.com,TRUE
1417,gamewith.jp,TRUE
1418,hqporner.com,TRUE
1421,imagefap.com,TRUE
1422,xhwide4.com,TRUE
1424,khabaronline.ir,TRUE
1428,xnxx2.com,TRUE
1429,jutarnji.hr,TRUE
1431,carsensor.net,TRUE
1432,programme-tv.net,TRUE
1434,protothema.gr,TRUE
1437,snaptik.app,TRUE
1439,ajio.com,TRUE
1440,blic.rs,TRUE
1441,motherless.com,TRUE
1442,karnataka.gov.in,TRUE
1446,haber7.com,TRUE
1447,kooora.com,TRUE
1450,fc2.com,TRUE
1456,mat6tube.com,TRUE
1457,livehindustan.com,TRUE
1458,ruliweb.com,TRUE
1459,game8.jp,TRUE
1460,almasryalyoum.com,TRUE
1461,aajtak.in,TRUE
1462,spiegel.de,TRUE
1463,ssstik.io,TRUE
1465,namasha.com,TRUE
1466,bookmyshow.com,TRUE
1468,mangago.me,TRUE
1473,mangabuddy.com,TRUE
1476,rezka.ag,TRUE
1479,9animetv.to,TRUE
1482,fapello.com,TRUE
1484,caliente.mx,TRUE
1487,mangakakalot.com,TRUE
1488,pussyspace.com,TRUE
1493,sxyprn.com,TRUE
1494,snapinsta.app,TRUE
1495,topmanhua.com,TRUE
1496,manganato.com,TRUE
1497,xhamster1.desi,TRUE
1502,verkada.com,TRUE
1506,sportybet.com,TRUE
1507,serviporno.com,TRUE
1508,trilltrill.jp,TRUE
1509,fararu.com,TRUE
1510,lausd.net,TRUE
1511,jav.guru,TRUE
1513,mechacomic.jp,TRUE
1514,freshsexvideos.com,TRUE
1516,betway.co.za,TRUE
1517,spankbang.party,TRUE
1518,tukif.com,TRUE
1520,visortmo.com,TRUE
1521,singular.net,TRUE
1522,xvideos.es,TRUE
1526,supjav.com,TRUE
1527,xhtab3.com,TRUE
1530,xxxvideo.link,TRUE
1532,hot-sex-tube.com,TRUE
1533,doujindesu.tv,TRUE
