rank,url,ads,status_code
848,https://instructure.com,TRUE,200
852,https://canonical.com,TRUE,200
855,https://sonobi.com,TRUE,200
861,https://netgear.com,TRUE,200
870,https://pusher.com,TRUE,200
871,https://shopee.co.id,TRUE,200
872,https://globalsign.com,TRUE,200
873,https://daum.net,TRUE,200
882,https://repubblica.it,TRUE,200
887,https://biblegateway.com,TRUE,200
891,https://wikihow.com,TRUE,200
895,https://segment.io,TRUE,200
899,https://ya.ru,TRUE,200
905,https://ebay.de,TRUE,200
911,https://sharethis.com,TRUE,200
914,https://typeform.com,TRUE,200
915,https://kohls.com,TRUE,200
920,https://akismet.com,TRUE,200
927,https://onesignal.com,TRUE,200
928,https://cbc.ca,TRUE,200
930,https://corriere.it,TRUE,200
932,https://smartthings.com,TRUE,200
936,https://mediavine.com,TRUE,200
947,https://ubnt.com,TRUE,200
952,https://mongodb.com,TRUE,200
954,https://flurry.com,TRUE,200
955,https://wshareit.com,TRUE,200
961,https://apnews.com,TRUE,200
963,https://adtelligent.com,TRUE,200
964,https://plex.tv,TRUE,200
966,https://mercadolibre.com.ar,TRUE,200
967,https://pixiv.net,TRUE,200
972,https://abovedomains.com,TRUE,200
981,https://bol.com,TRUE,200
982,https://si.com,TRUE,200
983,https://eporner.com,TRUE,200
984,https://chartbeat.com,TRUE,200
990,https://chess.com,TRUE,200
992,https://split.io,TRUE,200
1003,https://oculus.com,TRUE,200
1005,https://n-able.com,TRUE,200
1010,https://redislabs.com,TRUE,200
1011,https://pikabu.ru,TRUE,200
1013,https://marca.com,TRUE,200
1019,https://bidmachine.io,TRUE,200
1022,https://notamedia.ru,TRUE,200
1023,https://surfshark.com,TRUE,200
1024,https://plos.org,TRUE,200
1027,https://dribbble.com,TRUE,200
1029,https://utexas.edu,TRUE,200
1031,https://moneycontrol.com,TRUE,200
1032,https://mercadolivre.com.br,TRUE,200
1033,https://idnes.cz,TRUE,200
1040,https://upenn.edu,TRUE,200
1041,https://cloudinary.com,TRUE,200
1042,https://n-tv.de,TRUE,200
1047,https://identrust.com,TRUE,200
1049,https://gofundme.com,TRUE,200
1054,https://nexusmods.com,TRUE,200
1055,https://psu.edu,TRUE,200
1056,https://as.com,TRUE,200
1066,https://terra.com.br,TRUE,200
1070,https://abc.net.au,TRUE,200
1071,https://goal.com,TRUE,200
1076,https://newyorker.com,TRUE,200
1079,https://fortune.com,TRUE,200
1083,https://meethue.com,TRUE,200
1085,https://bitdefender.net,TRUE,200
1090,https://ucla.edu,TRUE,200
1095,https://biomedcentral.com,TRUE,200
1098,https://uisp.com,TRUE,200
1103,https://uchi.ru,TRUE,200
1108,https://olx.pl,TRUE,200
1109,https://letterboxd.com,TRUE,200
1110,https://ipify.org,TRUE,200
1112,https://vidoomy.com,TRUE,200
1117,https://code.org,TRUE,200
1119,https://aparat.com,TRUE,200
1121,https://lanacion.com.ar,TRUE,200
1124,https://finn.no,TRUE,200
1127,https://quantummetric.com,TRUE,200
1132,https://dafont.com,TRUE,200
1133,https://apa.org,TRUE,200
1136,https://uci.edu,TRUE,200
1137,https://detik.com,TRUE,200
1138,https://amocrm.ru,TRUE,200
1139,https://bmj.com,TRUE,200
1140,https://udn.com,TRUE,200
1143,https://myanimelist.net,TRUE,200
1146,https://no-ip.com,TRUE,200
1147,https://dmm.co.jp,TRUE,200
1148,https://readthedocs.io,TRUE,200
1153,https://livescore.com,TRUE,200
1156,https://flashscore.com,TRUE,200
1159,https://bttrack.com,TRUE,200
1162,https://vg.no,TRUE,200
1163,https://livedoor.com,TRUE,200
1164,https://wyzecam.com,TRUE,200
1165,https://digistorm.com,TRUE,200
1166,https://dynatrace.com,TRUE,200
1169,https://tabelog.com,TRUE,200
1174,https://gazzetta.it,TRUE,200
1175,https://pornpics.com,TRUE,200
1176,https://fb.watch,TRUE,200
1179,https://tinkoff.ru,TRUE,200
1180,https://divar.ir,TRUE,200
1183,https://beget.com,TRUE,200
1184,https://bfmtv.com,TRUE,200
1192,https://varzesh3.com,TRUE,200
1196,https://garmin.com,TRUE,200
1198,https://cricbuzz.com,TRUE,200
1200,https://faphouse.com,TRUE,200
1204,https://youporn.com,TRUE,200
1205,https://xhamster.desi,TRUE,200
1206,https://digikala.com,TRUE,200
1210,https://hitomi.la,TRUE,200
1211,https://egnyte.com,TRUE,200
1215,https://rule34video.com,TRUE,200
1219,https://index.hr,TRUE,200
1220,https://terabox.app,TRUE,200
1221,https://mercadolibre.com.mx,TRUE,200
1223,https://kakaku.com,TRUE,200
1226,https://zdnet.com,TRUE,200
1227,https://marktplaats.nl,TRUE,200
1228,https://redtube.com,TRUE,200
1243,https://wordreference.com,TRUE,200
1244,https://1024tera.com,TRUE,200
1245,https://ebay.it,TRUE,200
1248,https://hotpepper.jp,TRUE,200
1257,https://asu.edu,TRUE,200
1258,https://milliyet.com.tr,TRUE,200
1261,https://coursera.org,TRUE,200
1268,https://tabor.ru,TRUE,200
1269,https://byjus.com,TRUE,200
1277,https://boyfriendtv.com,TRUE,200
1280,https://tvn24.pl,TRUE,200
1284,https://coppel.com,TRUE,200
1288,https://dlsite.com,TRUE,200
1290,https://dagbladet.no,TRUE,200
1295,https://python.org,TRUE,200
1298,https://subito.it,TRUE,200
1306,https://granbluefantasy.jp,TRUE,200
1307,https://substack.com,TRUE,200
1315,https://ilmessaggero.it,TRUE,200
1318,https://dw.com,TRUE,200
1322,https://nesine.com,TRUE,200
1332,https://ekstrabladet.dk,TRUE,200
1334,https://aznude.com,TRUE,200
1335,https://imhentai.xxx,TRUE,200
1337,https://yts.mx,TRUE,200
1339,https://medicalnewstoday.com,TRUE,200
1342,https://oreilly.com,TRUE,200
1343,https://xhamster2.com,TRUE,200
1349,https://itmedia.co.jp,TRUE,200
1353,https://asuratoon.com,TRUE,200
1357,https://love4porn.com,TRUE,200
1360,https://kompoz2.com,TRUE,200
1363,https://cnnindonesia.com,TRUE,200
1366,https://sexvid.xxx,TRUE,200
1367,https://ok.xxx,TRUE,200
1369,https://oricon.co.jp,TRUE,200
1372,https://cardgames.io,TRUE,200
1374,https://xnxx.tv,TRUE,200
1375,https://tenki.jp,TRUE,200
1376,https://cnbcindonesia.com,TRUE,200
1377,https://xnxx.health,TRUE,200
1381,https://ilmeteo.it,TRUE,200
1385,https://fanpage.it,TRUE,200
1390,https://suumo.jp,TRUE,200
1391,https://pornhat.com,TRUE,200
1393,https://3bmeteo.com,TRUE,200
1394,https://inven.co.kr,TRUE,200
1397,https://iltalehti.fi,TRUE,200
1400,https://betnacional.com,TRUE,200
1402,https://bigo.sg,TRUE,200
1403,https://nintendo.com,TRUE,200
1404,https://russianfood.com,TRUE,200
1405,https://amarujala.com,TRUE,200
1408,https://ppomppu.co.kr,TRUE,200
1410,https://funnyjunk.com,TRUE,200
1411,https://mathplayground.com,TRUE,200
1417,https://gamewith.jp,TRUE,200
1418,https://hqporner.com,TRUE,200
1421,https://imagefap.com,TRUE,200
1424,https://khabaronline.ir,TRUE,200
1428,https://xnxx2.com,TRUE,200
1429,https://jutarnji.hr,TRUE,200
1431,https://carsensor.net,TRUE,200
1432,https://programme-tv.net,TRUE,200
1434,https://protothema.gr,TRUE,200
1437,https://snaptik.app,TRUE,200
1439,https://ajio.com,TRUE,200
1440,https://blic.rs,TRUE,200
1446,https://haber7.com,TRUE,200
1447,https://kooora.com,TRUE,200
1450,https://fc2.com,TRUE,200
1458,https://ruliweb.com,TRUE,200
1459,https://game8.jp,TRUE,200
1461,https://aajtak.in,TRUE,200
1463,https://ssstik.io,TRUE,200
1465,https://namasha.com,TRUE,200
1473,https://mangabuddy.com,TRUE,200
1479,https://9animetv.to,TRUE,200
1482,https://fapello.com,TRUE,200
1484,https://caliente.mx,TRUE,200
1487,https://mangakakalot.com,TRUE,200
1493,https://sxyprn.com,TRUE,200
1496,https://manganato.com,TRUE,200
1497,https://xhamster1.desi,TRUE,200
1502,https://verkada.com,TRUE,200
1509,https://fararu.com,TRUE,200
1513,https://mechacomic.jp,TRUE,200
1514,https://freshsexvideos.com,TRUE,200
1516,https://betway.co.za,TRUE,200
1517,https://spankbang.party,TRUE,200
1518,https://tukif.com,TRUE,200
1522,https://xvideos.es,TRUE,200
1530,https://xxxvideo.link,TRUE,200
1532,https://hot-sex-tube.com,TRUE,200
1535,https://upwitheaway.info,TRUE,200
1536,https://ninisite.com,TRUE,200
1539,https://ifilo.net,TRUE,200
1540,https://saednews.com,TRUE,200
1542,https://wnacg.com,TRUE,200
1545,https://netkeiba.com,TRUE,200
1546,https://sexvid.pro,TRUE,200
1548,https://azet.sk,TRUE,200
1550,https://gdz.ru,TRUE,200
1557,https://freeip.me,TRUE,200
1559,https://beboo.ru,TRUE,200
1561,https://lxtgame.com,TRUE,200
1563,https://utoronto.ca,TRUE,200
1564,https://hibiny.ru,TRUE,200
1569,https://toyhou.se,TRUE,200
1571,https://prokerala.com,TRUE,200
